# Constructed from biom file
#OTU ID	5608-A18-1	5608-A18-10	5608-A18-11	5608-A18-12	5608-A18-2	5608-A18-3	5608-A18-4	5608-A18-5	5608-A18-6	5608-A18-7	5608-A18-8	5608-A18-9	5608-BF18-1	5608-BF18-2	5608-BF18-3	5608-Blank	5608-CC18-1	5608-CC18-2	5608-CC18-3	5608-CC18-4	5608-CC18-5	5608-CC18-6	5608-CuC18-1	5608-M18-1	5608-SJ18-1	5608-SJ18-2	5608-SJ18-3
af7827a247a7b18c528328cc3930248a	132.0	46.0	142.0	91.0	188.0	52.0	24.0	30.0	394.0	50.0	78.0	58.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	39.0	39.0
3f7108063c5a5bc7e3427333746359fb	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	530.0	0.0	0.0	0.0	107.0	285.0	0.0	248.0	93.0	57.0	0.0	0.0	0.0	0.0	2.0
465792bba0e66e1c3460117b8c7ca1a5	130.0	61.0	296.0	108.0	0.0	0.0	0.0	50.0	152.0	67.0	80.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	49.0	17.0	33.0
9035519906a42519a519931dd9412a03	125.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.0	0.0	46.0	390.0	273.0
1581160c6777728d48e08fa9b5537a7f	0.0	72.0	394.0	47.0	0.0	24.0	76.0	0.0	27.0	41.0	85.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	42.0	60.0	47.0
1507543b5b16491494334e747f10ff7c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	1104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4c0e7f7277b72d21900166593b10d704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	1076.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c0f89f821d7bcd06fa090a8842f57413	0.0	150.0	158.0	209.0	0.0	0.0	0.0	0.0	15.0	49.0	97.0	224.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	62.0	56.0	41.0
4815380f533883544df2f5ddbe363a83	0.0	0.0	0.0	0.0	0.0	10.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	92.0	0.0	83.0	56.0	47.0	0.0	436.0	0.0	0.0	0.0
dab57900cc42fdcaf6540858140290c8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	684.0	32.0	0.0	9.0	0.0	0.0	85.0	23.0	8.0	0.0	0.0	0.0	0.0	0.0
e17ced43ed9be80fe0aa4f9ccf1756db	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	623.0	0.0	0.0
b21476ca0bea402dbc753eff4ac72409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	146.0	189.0	0.0	83.0	49.0	25.0	0.0	279.0	0.0	0.0	0.0
94b03653b8a92a91f2af2463d4654720	0.0	42.0	109.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	565.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
bbfc2edd9af53e0ab8df2b638818e898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	184.0	215.0	0.0	95.0	75.0	46.0	0.0	53.0	0.0	0.0	0.0
35171992a3a6095e73ca07bad4984d73	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	445.0	19.0	0.0	11.0	0.0	49.0	52.0	23.0	0.0	0.0	0.0	0.0	0.0
